model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
Qwen/Qwen2.5-3B,1,304.75666666666666,303.0,306.76,1.8920976014289848,0.006208551964175741
Qwen/Qwen2.5-3B,2,582.0933333333334,579.22,587.56,4.736341766947676,0.008136739412260924
Qwen/Qwen2.5-3B,4,1154.2733333333333,1143.3,1162.02,9.768220581730006,0.008462658106742486
Qwen/Qwen2.5-3B,8,2257.03,2238.54,2270.3,16.51092668507753,0.007315333285369474
Qwen/Qwen2.5-3B,16,4248.63,4237.53,4266.77,15.840315653420854,0.0037283349346544305
Qwen/Qwen2.5-3B,32,7732.4766666666665,7627.59,7825.5,99.48691387983294,0.012866112394325542
Qwen/Qwen2.5-3B,64,13096.31,12871.47,13454.41,313.4859352506906,0.023936966615076355
Qwen/Qwen2.5-3B,128,20298.04,20136.61,20480.72,173.03639761622438,0.008524783556255893
Qwen/Qwen2.5-3B,256,22093.203333333335,22003.64,22155.07,79.42348666064396,0.0035949285154503827
Qwen/Qwen2.5-3B,512,23756.76833333333,23230.34,24269.36,398.7227117893666,0.016783541691986592
Qwen/Qwen2.5-3B,1024,20542.538333333334,15683.83,24886.61,3460.489080592029,0.16845479484766834
Qwen/Qwen2.5-3B,2048,15730.769999999999,13292.39,20148.46,3832.711183783615,0.243644219817823
Qwen/Qwen2.5-7B,1,189.37333333333333,188.99,189.66,0.34530180036212477,0.0018233918909497852
Qwen/Qwen2.5-7B,2,375.7133333333333,374.34,378.34,2.2755512152736372,0.006056615545381152
Qwen/Qwen2.5-7B,4,745.4633333333333,743.12,748.29,2.6186701459583026,0.0035128087846372368
Qwen/Qwen2.5-7B,8,1436.6633333333332,1432.98,1443.12,5.610118834154347,0.0039049641652214415
Qwen/Qwen2.5-7B,16,2721.6066666666666,2716.65,2730.69,7.877336690362596,0.002894370000941588
Qwen/Qwen2.5-7B,32,4883.366666666667,4879.75,4886.39,3.3595287367924604,0.0006879534071697382
Qwen/Qwen2.5-7B,64,8539.406666666668,8473.01,8589.91,60.04873881550944,0.007031956804435633
Qwen/Qwen2.5-7B,128,12694.856666666667,12592.11,12801.01,104.49165772124181,0.008231023040662595
Qwen/Qwen2.5-7B,256,16059.653333333334,15863.85,16287.57,213.67758243047672,0.013305242522699328
Qwen/Qwen2.5-7B,512,17435.405,16690.25,17932.29,450.4899548158648,0.025837653602876723
Qwen/Qwen2.5-7B,1024,16378.061666666666,14265.16,18235.38,1905.284937865375,0.11633152790864704
Qwen/Qwen2.5-7B,2048,15284.133333333333,13665.25,18291.99,2607.4155686106765,0.17059623282166322
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1,211.85333333333332,211.31,212.62,0.6829592471980609,0.003223736140717117
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2,418.7866666666667,417.03,421.98,2.7701323674751412,0.006614662280258373
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,4,831.3566666666666,829.16,833.1,2.0087392397555344,0.0024162183576509223
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,8,1600.2699999999998,1583.33,1611.48,14.924151567174647,0.009326020963446573
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,16,3040.25,3034.61,3043.32,4.890777034378126,0.0016086759425633075
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,32,5301.053333333333,5249.99,5341.73,46.7436523319832,0.008817804574433617
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,64,8318.346666666666,8266.24,8390.9,64.79643920257753,0.007789581487656706
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,128,11574.043333333333,11484.09,11632.64,79.08353832077347,0.006832835858926885
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,256,11871.913333333332,11755.42,11947.99,102.44965316355771,0.008629582299586465
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,512,12193.43,11853.09,12468.63,225.9532628664601,0.018530738509710612
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1024,12556.505,12242.74,12795.1,243.9027720014683,0.019424415631695943
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2048,12604.476666666667,12454.1,12826.83,196.51308768968426,0.015590737551950475
meta-llama/Llama-3.1-8B,1,180.36,180.11,180.54,0.22338307903687352,0.0012385400257090098
meta-llama/Llama-3.1-8B,2,361.19666666666666,360.65,361.6,0.4909514572066528,0.0013592358471562174
meta-llama/Llama-3.1-8B,4,704.9666666666667,703.94,706.81,1.5998229068660126,0.0022693596484930803
meta-llama/Llama-3.1-8B,8,1365.96,1360.97,1370.21,4.66423627188847,0.003414621417822242
meta-llama/Llama-3.1-8B,16,2577.273333333333,2572.12,2587.05,8.470987742485216,0.0032868022312283174
meta-llama/Llama-3.1-8B,32,4448.849999999999,4418.7,4491.42,37.91756716879411,0.008523004185080191
meta-llama/Llama-3.1-8B,64,7780.463333333333,7722.0,7827.04,53.51934260931572,0.006878683224432979
meta-llama/Llama-3.1-8B,128,11288.946666666665,11237.35,11349.24,56.449685856816856,0.005000438705543547
meta-llama/Llama-3.1-8B,256,14286.856666666667,13896.73,14521.45,340.1642734523036,0.023809595167701005
meta-llama/Llama-3.1-8B,512,15483.339999999998,15167.91,15771.2,277.3842285350776,0.017915012428524942
meta-llama/Llama-3.1-8B,1024,15980.071666666665,14728.9,16565.34,651.2949422010475,0.04075669720302975
meta-llama/Llama-3.1-8B,2048,13213.856666666667,13196.51,13224.59,15.163236242086219,0.001147525406442268
meta-llama/Llama-3.2-3B,1,321.2166666666667,320.72,321.49,0.43085186936270237,0.0013413123105775544
meta-llama/Llama-3.2-3B,2,627.4866666666667,619.76,631.61,6.696538907027523,0.01067200191296634
meta-llama/Llama-3.2-3B,4,1213.3333333333333,1205.38,1219.56,7.245973594578725,0.005971956259268175
meta-llama/Llama-3.2-3B,8,2341.0099999999998,2320.47,2354.21,18.027856223078924,0.007700888173514373
meta-llama/Llama-3.2-3B,16,4502.136666666666,4478.52,4520.83,21.580394651936338,0.0047933672941817326
meta-llama/Llama-3.2-3B,32,7358.873333333333,7330.21,7384.97,27.470078873810024,0.0037329191072469317
meta-llama/Llama-3.2-3B,64,12951.613333333333,12808.82,13068.39,131.7262177143688,0.010170641627738177
meta-llama/Llama-3.2-3B,128,18979.41,18851.24,19083.31,117.92326276015416,0.006213220682842741
meta-llama/Llama-3.2-3B,256,22603.49,22161.44,23003.03,422.40236398486053,0.018687484277200656
meta-llama/Llama-3.2-3B,512,21289.998333333333,18078.36,24190.46,2430.166993417667,0.11414594568628043
meta-llama/Llama-3.2-3B,1024,20061.635,14158.8,23592.89,4443.4190582241945,0.22148838109277713
meta-llama/Llama-3.2-3B,2048,17022.0425,13096.48,21728.04,3560.7361999112404,0.2091838391257242
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,259.4666666666667,259.07,260.23,0.6612362159874089,0.0025484437923461124
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,520.8466666666667,518.92,522.51,1.809429007541682,0.0034740147597022474
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,1005.5833333333334,996.63,1014.16,8.771067969941454,0.0087223680814865
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,1943.6166666666668,1927.65,1956.98,14.837291981130818,0.00763385714662404
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,3656.876666666667,3637.06,3674.54,18.8325578011413,0.005149902366903668
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,6426.346666666667,6384.64,6458.25,37.771510869083684,0.005877602443236355
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,10579.453333333333,10423.74,10719.84,148.6438109486349,0.014050235514560411
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,15309.159999999998,15144.5,15458.99,157.76861760185372,0.010305504521597121
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,17837.826666666664,17691.87,17966.72,138.21721540146083,0.007748545716039778
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,19034.54,18451.64,19585.22,466.30788622968834,0.024497985568849478
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,18462.649999999998,16615.07,19561.58,1115.7721408961602,0.060434019000314705
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,16687.572500000002,15074.69,18186.41,1562.0268544079743,0.09360419883766634